"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
MALOUDA EMPREENDIMENTOS LTDA - ME;RESTAURANTE MALOUDA;"20.685.522/0001-81";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;65.590.000;MA;Barreirinhas;Barreirinhas;AV. BEIRA RIO 109, CENTRO;(98) 98739-7130;;ojacarepub@gmail.com;;;"10.080859.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";130;Francês ,Inglês
POUSADA FAZENDINHA LTDA - ME;POUSADA FAZENDINHA;"07.939.509/0001-43";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;35.460.000;MG;Brumadinho;Brumadinho;FAZ SANTA CRUZ S/N KM 48MG 040;(31) 3571-1104;;fazendinha@gmail.com;;;"11.087395.15.0001-5";"5510-8/01-HOTEL (Primário), 5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";30;Nenhuma das Opções
P.M.DA CRUZ & CIA LTDA;CHURRASCARIA SANTA FÉ;"11.706.688/0001-46";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;76.510.000;GO;Crixás;Crixás;R TOBIAS PEREIRA S/N QD 17 LT 08 CENTRO;(62) 3365-1183;;condadoscontabilidade@gmail.com;;;"09.043342.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;Espanhol
BRITO & CUNHA LTDA;PEIXARIA DO ANTONIO;"83.897.934/0001-03";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;66.913.430;PA;Belém;Chapéu Virado (Mosqueiro);AV. 16 DE NOVEMBRO, S/N.;(91) 3771-4331;;rbritocunha@uol.com.br;;www.peixariaepousadadoantonio.com.br;"14.075823.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;Nenhuma das Opções
DIVA MAIA DE ARAUJO;LANCHONETE E SORVETERIA AVENIDA;"00.754.980/0001-18";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;69.940.000;AC;Sena Madureira;Sena Madureira;AVENIDA BRASIL,151-CENTRO;(68) 9981-0973;;ynarasena@hotmail.com;;;"01.053128.15.0001-1";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";20;Nenhuma das Opções
DENISE MARIA S. FIGUEIREDO;RESTAURANTE VITÓRIA;"09.019.347/0001-50";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.970.000;AC;Tarauacá;Tarauacá;AVENIDA ANTONIO FROTA, 498 - CENTRO;(68) 3462-1075;(68) 9226-6875;leto-tk@hotmail.com;;;"01.049440.15.0001-6";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";100;Nenhuma das Opções
TEREZINHA DAS DORES PEREIRA SOUZA;KABANAS GRILL CHURRASCARIA;"24.781.252/0001-63";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.968.350;GO;Aparecida de Goiânia;Jardim Monte Cristo;AV.INDEPENDENCIA QD.12 LT.14;(62) 98635-3557;;laurasborges2311@gmail.com;;;"09.088791.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";60;Nenhuma das Opções
LAERCIA BORGES DOS SANTOS E CIA LTDA - ME - ME;RESTAURANTE E LANCHONETE FOGÃO A LENHA;"10.214.967/0001-20";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.236.000;MT;Caramujo;Caramujo;AVENIDA PRINCIPAL, S/Nº ;(65) 3277-1203;;luciacardosorosa@outlook.com;;;"13.073999.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;Espanhol
GIANFRANCO SCOTTI;VIVA BELLA;"01.071.149/0001-24";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Cafeteria;79.330.010;MS;Corumbá;Centro;R. ARTHUR MANGABEIRA, 1;(67) 3232-3396;(67) 9243-3596;francoscotti@hotmail.com;;;"12.078160.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;Espanhol
VILLA RAMOS BAR E RESTAURANTE LTDA;BISTRO VILLA RAMOS;"15.670.378/0001-70";Sociedade Simples;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;37.640.000;MG;Extrema;Extrema;RUA DAS FLORES, 177;(35) 3435-3321;;mramos_2010@hotmail.com;;www.bistrovillaramos.com.br;"11.089388.15.0001-0";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";100;Nenhuma das Opções
MALIANITA FELIPPI MAFRA - ME;PASTELARIA PONTO 42;"20.950.932/0001-02";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;89.820.000;SC;Xanxerê;Xanxerê;RUA OLAVO BILAC, 42, SALA 01;(49) 3433-5380;;gasperini10@hotmail.com;;;"24.088646.15.0001-8";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";50;Espanhol
NADIELE COSTA LUZ-ME;CHAME A PIZZA;"23.755.932/0001-40";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;76.420.000;GO;Niquelândia;Niquelândia;R DOM BOSCO 33 C/AV.ANHANGUERA JARDIM AURORA;(62) 3354-1523;;cadastro@jdmcontabil.com.br;;;"09.076745.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";36;Nenhuma das Opções
DIVINO SERGIO LELES DE SOUZA;RESTAURANTE KILAO;"09.506.280/0001-89";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;73.850.000;GO;Cristalina;Cristalina;R MINAS GERAIS SN QD: 15 LT 10 B;(61) 3612-1784;;sandra.contabosa@bol.com.br;;;"09.074166.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";84;Nenhuma das Opções
IPANEMA GRILL LTDA;IPANEMA GRILL;"05.303.654/0001-08";Sociedade Empresária;"08/11/2002";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;91.751.160;RS;Porto Alegre;Cavalhada;AV EDUARDO PRADO  1940  LOJA 204;(51) 3244-1010;;ipanema.grill@yahoo.com.br;;;"23.038038.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;Espanhol ,Italiano
